Cities ,pop_area,tour_inf,nhwhite,gdp_per_capita,crime_avg,employ_avg,pov_avg ,pub_inf ,land_locked,lon_trm
New York City ,"27,747.90","60,000,000",69.10,"100,806",38.22,59.90%,23%,229.00,0,49
San Fransisco,"18,790.80","25,000,000",58.1,"144,633",66.64,65.90%,10.40%,33.2,0,38.5
Chicago,"11,846.50","50,000,000",68.6,"80,468",5.38,64%,17.20%,0.414,0,34
Philadelphia,"11,796.80","42,900,000",65.7,"76,675",53.67,60.20%,22.70%,1200,0,34.2
Los Angeles,"8,476.40","22,000,000",75,"86,532",8.38,67.70%,12%,900,0,47
Oklahoma City,"1,080.30","23,200,000",18.75,"60,113",37.18,64%,15%,87,1,50.19
Boston,"14,362.60","22,700,000",51.39,"108,506",26.19,68.20%,17.50%,3.6,0,59.9
Jacksonville,"1,219.80","22,000,000",46.88,"61,897",63.99,60.60%,12%,147,0,82
Kansas City,"1,574","24,500,000",40.96,"70,165",48.3,66.10%,14%,$2.3 billion ,1,63
Dallas,"3,841","25,000,000",51.87,"77,109",45.9,66.70%,14.30%,$1.1 billion ,1,45.9
Washington D.C.,"11,545.90","25,950,000",59.55,"95,593",60,72.60%,13.30%,$61.3 million ,0,60.1
Phoenix,"3,105","46,700,000",40.56,"63,906",32.7,65.80%,14.60%,$95 million ,1,53.7
Austin,"3,007","27,400,000",36.77,"82,372",41.62,72.60%,12.40%,$148 billion ,0,41.2
Seattle ,"8,973","33,300,000",36.38,"119,646",65.73,72%,11%,$1.55 billion ,0,53.9
Miami,"13,000.50","4,700,000",52.81,"68,477",29.79,65.20%,20%,$3.47 billion ,0,52.7
Nashville,1405.9,"16,800,000",37.05,"81,010",49.6,46.70%,14.50%,$68 billion ,1,47.8
Detroit,"4,608","19,000,000",87.78,"64,982",66.09,49.20%,33.80%,$23.4 million,0,74.3
Atlanta,"3,686","1,700,000",59.25,"77,119",47.91,65.60%,17.70%,$1.5 billion ,1,64
Memphis,"2,192.40","30,600,000",73.55,"64,735",97.64,59.80%,21.40%,$394 billion ,0,76.5
Baltimore,"7,240","2,670,000",71.57,"78,556",48.36,60.80%,19.60%,$12.5 billion,0,74.7
New Orleans,"2,301.90","1,975,000",67.58,"64,855",60.98,58.10%,22.90%,$31 million ,0,67.4
San Antonio,"2,875.90","41,000,000",55.67,"55,494",8.83,61.50%,14.20%,,0,54.2
San Diego,"4,255.90","35,000,000",50.5,"81,548",18.97,63.30%,9.00%,,0,64
Fort Worth,"2,166","10,800,000",55.15,"77,109",5.02,66.40%,12.00%,,0,54.6
San Jose ,"5,684.50","5,000,000",72.71,"210,235",5.27,65.30%,8.60%,,1,56.5
Charlotte,"2,720","31,000,000",58.26,"76,958",42,69.70%,10.30%,,1,60.8
Columbus ,"4,116.30","43,000,000",46.78,"71,831",36.79,67.60%,12.60%,,0,59.8
Indianapolis,"2,428.30","29,200,000",47.98,"76,200",43.82,66.70%,14.70%,,0,54.3
Denver,"4,674","17,700,000",39.36,"85,246",74.14,72%,8.30%,,1,45.9
El Paso,"2,626.69","2,300,000",63.76,"43,050",19.54,57.90%,20.10%,,0,54.6
Las Vegas,"4,376","42,000,000",53.96,"59,411",4.89,59.80%,12%,,0,48.8
